Mode,ORegionDAT,DRegionDAT,yearweek,sanitized_cost
R,CA_FRS,MA_BOS,2020-03,1.858132295617866
R,CA_FRS,MA_BOS,2020-04,1.8068476236472457
R,CA_FRS,MA_BOS,2020-05,1.7271122317742127
R,CA_FRS,MA_BOS,2020-06,1.6151290581635487
R,CA_FRS,MA_BOS,2020-07,1.6358073725431095
R,CA_FRS,MA_BOS,2020-08,1.6688038446582003
R,CA_FRS,MA_BOS,2020-09,1.6950151190289158
R,CA_FRS,MA_BOS,2020-10,1.8234815868334473
R,CA_FRS,MA_BOS,2020-11,1.9802551538496223
R,CA_FRS,MA_BOS,2020-12,1.9451216890822636
R,CA_FRS,MA_BOS,2020-13,1.891331209590522
R,CA_FRS,MA_BOS,2020-14,1.8018161795573682
R,CA_FRS,MA_BOS,2020-15,1.733792731891818
R,CA_FRS,MA_BOS,2020-16,1.7788148645974613
R,CA_FRS,MA_BOS,2020-17,1.9167118300660175
R,CA_FRS,MA_BOS,2020-18,2.1419860743023555
R,CA_FRS,MA_BOS,2020-19,2.314393949800444
R,CA_FRS,MA_BOS,2020-20,2.471193969735705
R,CA_FRS,MA_BOS,2020-21,2.439330488411561
R,CA_FRS,MA_BOS,2020-22,2.3919185831155083
R,CA_FRS,MA_BOS,2020-23,2.3833720061276273
R,CA_FRS,MA_BOS,2020-24,2.3190346355725016
R,CA_FRS,MA_BOS,2020-25,2.3859860928485235
R,CA_FRS,MA_BOS,2020-27,2.4674219272824898
R,CA_FRS,MA_BOS,2020-28,2.4281570636195093
R,CA_FRS,MA_BOS,2020-29,2.4855347546638815
R,CA_FRS,MA_BOS,2020-30,2.5351652949164594
R,CA_FRS,MA_BOS,2020-31,2.59543027337346
R,CA_FRS,MA_BOS,2020-32,2.5445267393112356
R,CA_FRS,MA_BOS,2020-33,2.590052070192084
R,CA_FRS,MA_BOS,2020-34,2.572100117949396
R,CA_FRS,MA_BOS,2020-35,2.6977651917563756
R,CA_FRS,MA_BOS,2020-36,2.5036745842795507
R,CA_FRS,MA_BOS,2020-37,2.6320267366253667
R,CA_FRS,MA_BOS,2020-38,2.659766800722296
R,CA_FRS,MA_BOS,2020-39,2.6522727667681503
R,CA_FRS,MA_BOS,2020-40,2.618665387973092
R,CA_FRS,MA_BOS,2020-41,2.612504838230486
