"","yw","Mode","ORegionDAT","DRegionDAT","approx_cost","sanitized_cost","prcp","tavg","tmax","tmin","diesel_price","deaths","pandemic","volume","new_deaths","tmax_lag_12","tmax_lag_8","tmax_lag_4","tmax_lag_2","prcp_lag_12","prcp_lag_8","prcp_lag_4","prcp_lag_2"
"330","2018 W43","R","CA_FRS","MA_BOS",2.229833112,2.229833112,0,66.57142857,81.57142857,53,3.38,0,0,0,0,90.6428571375,87.2142857150002,81.5714285725007,82.3571428550003,0.00460069441666677,0.00690104162500016,0.0138020832500003,0
"331","2018 W44","R","CA_FRS","MA_BOS",2.458489387,2.458489387,0,63,75.71428571,51.71428571,3.355,0,0,0,0,88.4404761883331,84.3214285712497,80.1785714274993,78.6428571399993,0.00460069441666677,0.00690104162500016,0,0
"332","2018 W45","R","CA_FRS","MA_BOS",2.635831363,2.635831363,0.000208333,58.57142857,71.85714286,46.42857143,3.338,0,0,0,0,85.9761904766665,82.1785714287498,78.0714285699996,73.7857142849989,0.00461805550000009,0.00692708325000013,5.20832499999457e-05,0.000104166499999891
"333","2018 W46","R","CA_FRS","MA_BOS",2.45874011,2.45874011,0,54.71428571,68.85714286,40.42857143,3.317,0,0,0,0,83.7738095241666,79.26785714375,74.5,70.3571428600007,0.00461805550000009,0.00692708325000013,5.20832499999457e-05,0.000104166499999891
"334","2018 W47","R","CA_FRS","MA_BOS",2.247653617,2.247653617,0.115961538,55.57142857,66.28571429,46.57142857,3.282,0,0,0,0,81.7023809533333,76.1250000012501,70.6785714299995,67.571428575,0.014281517,0.0214222755,0.0290424677499996,0.0579807689999994
"335","2018 W48","R","CA_FRS","MA_BOS",2.173132892,2.173132892,0.268909091,53.42857143,60.28571429,46.85714286,3.261,0,0,0,0,78.4880952391665,73.5000000012496,66.821428575,63.2857142899993,0.0366906079166667,0.04813487025,0.0962697404999999,0.1924353145
"336","2018 W49","R","CA_FRS","MA_BOS",2.17807174,NA,0.025614035,51.28571429,57.28571429,46.42857143,3.207,0,0,0,0,75.8452380966667,70.6250000012501,63.1785714325006,58.7857142900011,0.0388251108333334,0.051336624625,0.102621166,0.147261563000001
"337","2018 W50","R","CA_FRS","MA_BOS",2.183010588,2.183010588,0.007254902,49.28571429,58.71428571,41.71428571,3.161,0,0,0,0,73.0595238108332,67.5714285724998,60.6428571449997,58,0.0394296860000001,0.052243487375,0.1044348915,0.0164344685
"338","2018 W51","R","CA_FRS","MA_BOS",2.235452991,NA,0.056785714,52.28571429,58,47.28571429,3.121,0,0,0,0,70.273809525,64.6250000012496,58.5714285724998,58.3571428549985,0.0441618288333334,0.059341701625,0.0896409355000003,0.0320203079999999
"339","2018 W52","R","CA_FRS","MA_BOS",2.287895393,2.287895393,0.03245283,46.71428571,54.85714286,39,3.077,0,0,0,0,68.0714285724998,62.0178571450001,57.2142857150002,56.4285714300004,0.0422655369166665,0.0633983053749998,0.0305268702499997,0.0446192719999994
"340","2019 W01","R","CA_FRS","MA_BOS",2.154971953,2.154971953,0.078301887,44.57142857,55.85714286,35.85714286,3.048,0,0,0,0,66.0357142866666,60.0178571450001,56.8571428574996,55.3571428600007,0.0487906941666666,0.0731599996249999,0.0436988332499997,0.0553773584999995
"341","2019 W02","R","CA_FRS","MA_BOS",2.030800024,NA,0.112105263,53.42857143,61.71428571,48,3.013,0,0,0,0,64.2500000008334,59.1250000012501,57.6071428575005,58.7857142850007,0.0581327994166666,0.0871731574999999,0.0699114234999998,0.0952035750000002
"342","2019 W03","R","CA_FRS","MA_BOS",1.906628096,NA,0.172857143,54.28571429,62,48.42857143,2.976,0,0,0,0,62.6190476199999,58.5892857150002,58.6071428575005,61.8571428550003,0.0725375613333332,0.094285108125,0.0989292807499997,0.142481203
"343","2019 W04","R","CA_FRS","MA_BOS",1.782456167,1.782456167,0.084038462,49.85714286,60.85714286,40,2.965,0,0,0,0,61.3809523825003,58.6607142862504,60.1071428575005,61.4285714300004,0.0795407664999999,0.0711762794999999,0.11182568875,0.1284478025
"344","2019 W05","R","CA_FRS","MA_BOS",1.714897528,1.714897528,0.13296875,55.57142857,63.42857143,48.85714286,2.965,0,0,0,0,60.6785714300001,59.4285714287498,62,62.1428571449997,0.0906041345833333,0.0845956188749999,0.1254924045,0.108503606
"345","2019 W06","R","CA_FRS","MA_BOS",1.698819932,NA,0.2145,46.71428571,54.14285714,36.71428571,2.966,0,0,0,0,59.4523809533333,58.8571428575001,60.1071428574996,58.7857142849989,0.108479134583333,0.110501256125,0.15109108875,0.173734375
"346","2019 W07","R","CA_FRS","MA_BOS",1.682742337,1.682742337,0.206451613,48.57142857,56,41.14285714,2.966,0,0,0,0,58.5952380958333,58.6071428575001,58.6071428574996,55.0714285699996,0.116019974166667,0.1292094935,0.15948970625,0.2104758065
"347","2019 W08","R","CA_FRS","MA_BOS",1.831309802,1.831309802,0.056296296,44.71428571,54.42857143,36.28571429,3.006,0,0,0,0,58.1071428575002,58.5535714287503,57,55.2142857150011,0.09830224125,0.13218992675,0.15255416475,0.1313739545
"348","2019 W09","R","CA_FRS","MA_BOS",1.791505077,NA,0.125737705,58,66.42857143,51.42857143,3.048,0,0,0,0,58.8690476191665,59.875,57.75,60.4285714300004,0.106645880416667,0.138119404,0.1507464035,0.0910170004999999
"349","2019 W10","R","CA_FRS","MA_BOS",1.751700353,1.751700353,0.100625,53.85714286,60.42857143,46.57142857,3.076,0,0,0,0,59.0119047625,59.7142857149997,59.3214285724998,63.4285714299986,0.114426721916667,0.136684371125,0.1222776535,0.1131813525
"350","2019 W11","R","CA_FRS","MA_BOS",1.786506817,1.786506817,0.003846154,54.28571429,68,42.28571429,3.079,0,0,0,0,59.8452380958333,60.4642857149997,62.3214285724998,64.2142857149993,0.110015091916667,0.1155579975,0.0716262887500001,0.0522355770000003
"351","2019 W12","R","CA_FRS","MA_BOS",1.805644133,1.805644133,0.021578947,59.42857143,70.28571429,49.42857143,3.07,0,0,0,0,61.1309523816669,61.64285714375,66.2857142875,69.1428571450015,0.109108935,0.107750558125,0.0629469514999998,0.0127125504999999
"352","2019 W13","R","CA_FRS","MA_BOS",1.803983726,1.803983726,0.017090909,59.71428571,71.85714286,49.14285714,3.08,0,0,0,0,62.4642857149999,62.6964285724998,67.6428571449997,71.071428575,0.104008020166667,0.0932658280000001,0.0357852525000002,0.0193349280000001
"353","2019 W14","R","CA_FRS","MA_BOS",1.915479883,1.915479883,0.042711864,62.71428571,74.28571429,52,3.078,0,0,0,0,63.5119047633334,65.2142857162503,71.1071428600007,73.071428575,0.0982252369166667,0.0717923109999998,0.0213069684999998,0.0299013864999997
"354","2019 W15","R","CA_FRS","MA_BOS",2.020218296,2.020218296,0,63.57142857,74.71428571,51.57142857,3.093,0,0,0,0,64.5714285724998,67.5535714299999,72.7857142875,74.5,0.083820475,0.045985859375,0.0203454299999999,0.0213559319999996
"355","2019 W16","R","CA_FRS","MA_BOS",2.037418015,2.037418015,0.035490196,66.14285714,78.71428571,53.57142857,3.118,0,0,0,0,66.0595238099998,70.5892857149997,74.8928571424995,76.7142857099989,0.0797747861666667,0.043385096875,0.0238232422500002,0.0177450980000007
"356","2019 W17","R","CA_FRS","MA_BOS",2.036919535,2.036919535,0,75.57142857,90.14285714,61.28571429,3.147,0,0,0,0,68.2857142858332,73.5535714287498,79.4642857125,84.428571425,0.0686940570000001,0.0276678837500002,0.0195505150000002,0.0177450980000007
"357","2019 W18","R","CA_FRS","MA_BOS",1.994723483,1.994723483,0,69.42857143,81,55.85714286,3.169,0,0,0,0,70.5238095241666,76.125,81.1428571399993,85.5714285699996,0.050819057,0.0150897587500001,0.00887254900000034,0
"358","2019 W19","R","CA_FRS","MA_BOS",2.002377321,2.002377321,0.0092,69.14285714,81.57142857,58,3.171,0,0,0,0,72.6547619050001,77.8214285712502,82.8571428550003,81.2857142850007,0.0343814225833334,0.0157589895000001,0.0111725490000003,0.00459999999999994
"359","2019 W20","R","CA_FRS","MA_BOS",2.015199359,2.015199359,0.293584906,64.85714286,73.42857143,55.28571429,3.16,0,0,0,0,74.2380952383331,78.2142857137496,81.5357142849998,77.5,0.0541554734166666,0.049759734375,0.0756962264999999,0.151392453
"360","2019 W21","R","CA_FRS","MA_BOS",2.089851961,NA,0.098235294,61.71428571,70.42857143,54.14285714,3.163,0,0,0,0,74.5714285716667,78.0357142850003,76.6071428575005,71.9285714300004,0.0518636058333334,0.0599027825,0.10025505,0.1959101
"361","2019 W22","R","CA_FRS","MA_BOS",2.164504564,2.164504564,0.0694,70.42857143,83.57142857,60.57142857,3.151,0,0,0,0,76.5,79.1964285699996,77.25,77,0.0492615225,0.0632387995000001,0.11760505,0.0838176470000001
"362","2019 W23","R","CA_FRS","MA_BOS",2.234363417,2.234363417,0,79.14285714,92.14285714,65.42857143,3.136,0,0,0,0,78.5119047616669,81.3749999987504,79.8928571425004,87.8571428550003,0.0489410096666667,0.0632387995000001,0.11530505,0.0347
"363","2019 W24","R","CA_FRS","MA_BOS",2.183233,2.183233,0,84.71428571,98.42857143,70.14285714,3.105,0,0,0,0,80.8571428566665,83.8392857137501,86.1428571425004,95.2857142850007,0.0471427640833334,0.0588025249999999,0.0419088235,0
"364","2019 W25","R","CA_FRS","MA_BOS",2.242208672,2.242208672,0,82.28571429,95.28571429,69.14285714,3.07,0,0,0,0,82.8095238091667,84.4821428575001,92.3571428574996,96.8571428599989,0.0457185216666667,0.0588025249999999,0.01735,0
"365","2019 W26","R","CA_FRS","MA_BOS",2.215278477,2.215278477,0,78.71428571,91.85714286,64.14285714,3.043,0,0,0,0,84.2738095233332,85.8392857150002,94.4285714300004,93.571428575,0.0421591996666667,0.0588025249999999,0,0
"366","2019 W27","R","CA_FRS","MA_BOS",2.15218271,2.15218271,0,80.57142857,94.42857143,65.71428571,3.042,0,0,0,0,85.9166666666667,87.4464285724998,95.0000000024993,93.1428571449997,0.0421591996666667,0.057652525,0,0
"367","2019 W28","R","CA_FRS","MA_BOS",2.085577287,2.085577287,0,82.57142857,98,67.28571429,3.055,0,0,0,0,87.5238095241666,90.51785714375,94.8928571449997,96.2142857149993,0.0392016833333333,0.02095441175,0,0
"368","2019 W29","R","CA_FRS","MA_BOS",2.070696865,2.070696865,0,83.42857143,97.71428571,68.85714286,3.051,0,0,0,0,88.1547619050001,93.9285714287498,95.5,97.8571428550003,0.0392016833333333,0.00867499999999999,0,0
"369","2019 W30","R","CA_FRS","MA_BOS",2.042503913,2.042503913,0.000731707,90.14285714,104.8571429,76.14285714,3.044,0,0,0,0,90.1428571466668,96.5892857200001,98.7500000099999,101.285714305001,0.0392626589166666,9.14633749999894e-05,0.000182926749999979,0.000365853499999957
"370","2019 W31","R","CA_FRS","MA_BOS",1.988530896,1.988530896,0,85.14285714,101.1428571,69.57142857,3.034,0,0,0,0,91.7738095241666,97.7142857149997,100.4285714275,103,0.03849599225,9.14633749999894e-05,0.000182926749999979,0.000365853499999957
"371","2019 W32","R","CA_FRS","MA_BOS",1.985651406,1.985651406,0,82.42857143,96.28571429,68.42857143,3.032,0,0,0,0,93.6785714291667,97.4464285724998,100,98.7142856949995,0.0140305834166667,9.14633749999894e-05,0.000182926749999979,0
"372","2019 W33","R","CA_FRS","MA_BOS",1.941671041,1.941671041,0,86.14285714,101.8571429,71,3.011,0,0,0,0,96.2976190516665,98.26785714875,101.0357142975,99.0714285949998,0.00584430891666665,9.14633749999894e-05,0.000182926749999979,0
"373","2019 W34","R","CA_FRS","MA_BOS",1.96339276,1.96339276,0,83.28571429,98.14285714,69.57142857,2.994,0,0,0,0,97.5119047658336,99.0535714337502,99.3571428575005,100.000000020002,6.09755833333262e-05,9.14633749999894e-05,0,0
"374","2019 W35","R","CA_FRS","MA_BOS",1.99117758,1.99117758,0,86.14285714,100.8571429,71.71428571,2.983,0,0,0,0,98.2380952458331,99.8571428675,99.2857143074998,99.5000000199998,6.09755833333262e-05,9.14633749999894e-05,0,0
"375","2019 W36","R","CA_FRS","MA_BOS",2.004320427,2.004320427,0,84.14285714,97.71428571,70.57142857,2.976,0,0,0,0,98.1785714358333,99.8214285812501,99.6428571625001,99.2857143049987,6.09755833333262e-05,9.14633749999894e-05,0,0
"376","2019 W37","R","CA_FRS","MA_BOS",1.983398379,1.983398379,0,78,93,63.71428571,2.971,0,0,0,0,97.988095245,99.2321428675,97.4285714375001,95.3571428550003,6.09755833333262e-05,9.14633749999894e-05,0,0
"377","2019 W38","R","CA_FRS","MA_BOS",1.906358092,1.906358092,0,72,85.14285714,59.42857143,2.987,0,0,0,0,97.4285714349999,96.7678571474999,94.1785714374992,89.0714285699996,6.09755833333262e-05,0,0,0
"378","2019 W39","R","CA_FRS","MA_BOS",1.896409584,1.896409584,0,75.28571429,87.28571429,62.71428571,3.081,0,0,0,0,96.8333333400002,95.0357142962503,90.7857142850007,86.2142857150011,6.09755833333262e-05,0,0,0
"379","2019 W40","R","CA_FRS","MA_BOS",1.88206655,1.88206655,0,64.28571429,79,51.28571429,3.066,0,0,0,0,95.2500000066669,92.8750000100003,86.1071428575005,83.1428571450015,6.09755833333262e-05,0,0,0
"380","2019 W41","R","CA_FRS","MA_BOS",1.849166024,1.849166024,0,67.85714286,83,53.42857143,3.047,0,0,0,0,94.0238095308335,90.5178571475003,83.6071428575005,81,6.09755833333262e-05,0,0,0
"381","2019 W42","R","CA_FRS","MA_BOS",1.842977531,1.842977531,0,64.57142857,77.57142857,52.14285714,3.051,0,0,0,0,91.7500000033333,87.9464285762497,81.7142857150002,80.2857142849989,0,0,0,0
"382","2019 W43","R","CA_FRS","MA_BOS",1.893061208,1.893061208,0,67.71428571,81.71428571,54.28571429,3.05,0,0,0,0,90.1309523875,85.5535714275002,80.3214285699996,79.6428571399993,0,0,0,0
"383","2019 W44","R","CA_FRS","MA_BOS",1.882446704,1.882446704,0.023809524,56.71428571,72.14285714,43,3.064,0,0,0,0,88.1190476250001,82.35714285625,78.6071428549994,76.928571425,0.00198412699999991,0.00297619049999986,0.00595238099999973,0.0119047619999995
"384","2019 W45","R","CA_FRS","MA_BOS",1.966835149,1.966835149,0,61.85714286,79.14285714,47.42857143,3.062,0,0,0,0,86.2261904783333,80.6249999987499,77.6428571399993,75.6428571399993,0.00198412699999991,0.00297619049999986,0.00595238099999973,0.0119047619999995
"385","2019 W46","R","CA_FRS","MA_BOS",2.132264598,2.132264598,0,60.71428571,74.71428571,48.85714286,3.073,0,0,0,0,84.2738095258331,79.3214285700001,76.928571425,76.928571425,0.00198412699999991,0.00297619049999986,0.00595238099999973,0
"386","2019 W47","R","CA_FRS","MA_BOS",2.031969576,2.031969576,0,56.28571429,69.28571429,46,3.074,0,0,0,0,81.6428571416667,77.0714285699996,73.8214285699996,72,0.00198412699999991,0.00297619049999986,0.00595238099999973,0
"387","2019 W48","R","CA_FRS","MA_BOS",1.989465874,NA,0.2406,47.42857143,53.85714286,40.28571429,3.066,0,0,0,0,77.9880952375,73.9285714274997,69.25,61.571428575,0.022034127,0.0330511904999999,0.0601500000000001,0.1203
"388","2019 W49","R","CA_FRS","MA_BOS",1.946962172,1.946962172,0.185263158,55.14285714,62.85714286,48.28571429,3.07,0,0,0,0,75.4761904758334,71.4107142849998,65.1785714300004,58.3571428600007,0.0374727234999999,0.0562090852499999,0.1064657895,0.212931579
"389","2019 W50","R","CA_FRS","MA_BOS",2.038384726,NA,0.066111111,52.14285714,58.57142857,45.57142857,3.049,0,0,0,0,73.2619047616669,69.0357142850003,61.1428571450006,60.7142857150011,0.0429819827499999,0.0644729741249999,0.12299356725,0.1256871345
"390","2019 W51","R","CA_FRS","MA_BOS",2.129807279,NA,0.003913043,49.71428571,60.42857143,41,3.046,0,0,0,0,71.0238095233332,66.375,58.9285714300004,59.5,0.0433080696666666,0.0649621045,0.123971828,0.0350120770000002
