"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-16","0.00","0.0","0.0",,"76","60",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-17","0.00","0.0","0.0",,"84","60",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-18","0.00","0.0","0.0",,"85","64",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-19","0.00","0.0","0.0",,"87","60",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-20","0.00","0.0","0.0",,"94","62",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-21","0.00","0.0","0.0",,"99","66",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-22","0.00","0.0","0.0",,"102","70",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-23","0.00","0.0","0.0",,"103","73",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-24","0.00","0.0","0.0",,"105","72",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-25","0.00","0.0","0.0",,"99","76",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-26","0.00","0.0","0.0",,"92","70",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-27","0.00","0.0","0.0",,"95","70",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-28","0.00","0.0","0.0",,"100","67",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-29","0.00","0.0","0.0",,"102","69",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-30","0.00","0.0","0.0",,"100","74",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-05-31","0.00","0.0","0.0",,"99","75",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-01","0.00","0.0","0.0",,"97","76",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-02","0.00","0.0","0.0",,"100","73",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-03","0.00","0.0","0.0",,"106","74",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-04","0.00","0.0","0.0",,"106","77",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-05","0.00","0.0","0.0",,"106","79",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-06","0.00","0.0","0.0",,"105","81",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-07","0.00","0.0","0.0",,"104","78",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-08","0.00","0.0","0.0",,"102","75",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-09","0.00","0.0","0.0",,"103","78",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-10","0.00","0.0","0.0",,"99","79",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-11","0.00","0.0","0.0",,"98","74",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-12","0.00","0.0","0.0",,"91","72",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-13","0.00","0.0","0.0",,"94","64",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-14","0.00","0.0","0.0",,"101","66",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-15","0.00","0.0","0.0",,"106","68",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-16","0.00","0.0","0.0",,"108","71",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-17","0.00","0.0","0.0",,"108","75",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-18","0.00","0.0","0.0",,"111","76",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-19","0.00","0.0","0.0",,"116","82",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-20","0.00","0.0","0.0",,"118","85",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-21","0.00","0.0","0.0",,"116","88",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-22","0.00","0.0","0.0",,"110","88",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-23","0.00","0.0","0.0",,"110","86",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-24","0.00","0.0","0.0",,"114","85",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-25","0.00","0.0","0.0",,"112","91",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-26","0.00","0.0","0.0",,"110","89",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-27","0.00","0.0","0.0",,"108","84",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-28","0.00","0.0","0.0",,"106","82",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-29","0.00","0.0","0.0",,"106","82",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-06-30","0.00","0.0","0.0",,"107","82",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-01","0.00","0.0","0.0",,"108","79",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-02","0.00","0.0","0.0",,"107","79",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-03","0.00","0.0","0.0",,"106","86",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-04","0.00","0.0","0.0",,"109","84",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-05","0.00","0.0","0.0",,"111","84",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-06","0.00","0.0","0.0",,"111","86",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-07","0.00","0.0","0.0",,"115","88",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-08","0.00","0.0","0.0",,"112","96",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-09","0.00","0.0","0.0",,"107","86",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-10","0.00","0.0","0.0",,"107","82",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-11",,,,,"102","82",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-12",,,,,"107","85",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-13","0.00","0.0","0.0",,"108","85",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-14","0.00","0.0","0.0",,"107","85",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-15","0.00","0.0","0.0",,"107","86",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-16","0.97","0.0","0.0",,"102","74",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-17","0.02","0.0","0.0",,"99","76",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-18","0.02","0.0","0.0",,"100","79",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-19","0.00","0.0","0.0",,"101","82",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-20","0.09","0.0","0.0",,"102","81",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-21","0.16","0.0","0.0",,"103","81",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-22","0.00","0.0","0.0",,"105","82",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-23","0.01","0.0","0.0",,"101","77",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-24","0.27","0.0","0.0",,"88","75",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-07-25","0.01","0.0","0.0",,"98","80",
